Tanggal,Temperatur Rata-rata
1980-12-31,26.4
1981-12-31,26.4
1982-12-31,26.4
1983-12-31,26.4
1984-12-31,26.4
1985-12-31,27.27780821917808
1986-12-31,27.387260273972604
1987-12-31,27.37904109589041
1988-12-31,27.546311475409837
1989-12-31,27.523835616438358
1990-12-31,27.396438356164385
1991-12-31,27.110958904109587
1992-12-31,27.529781420765026
1993-12-31,27.34027397260274
1994-12-31,27.286438356164382
1995-12-31,27.53041095890411
1996-12-31,27.57964480874317
1997-12-31,27.37246575342466
1998-12-31,28.7
1999-12-31,27.533424657534248
2000-12-31,27.757103825136614
2001-12-31,27.771369863013696
2002-12-31,27.895753424657535
2003-12-31,28.275205479452058
2004-12-31,28.221311475409838
2005-12-31,28.16520547945205
2006-12-31,27.277260273972605
2007-12-31,27.66041095890411
2008-12-31,27.82568306010929
2009-12-31,28.031232876712327
2010-12-31,28.117808219178084
2011-12-31,27.52972602739726
2012-12-31,27.885792349726778
2013-12-31,27.706164383561642
2014-12-31,27.953561643835613
2015-12-31,27.564520547945204
2016-12-31,28.404918032786888
2017-12-31,28.083150684931507
2018-12-31,28.13986301369863
2019-12-31,27.956438356164384
2020-12-31,28.39207650273224
2021-12-31,28.19767123287671
2022-12-31,28.044931506849313
2023-12-31,27.829315068493152
