Tanggal,Temperatur Minimum
1980-12-31,21.0
1981-12-31,21.0
1982-12-31,21.0
1983-12-31,21.0
1984-12-31,21.0
1985-12-31,22.794520547945204
1986-12-31,23.65753424657534
1987-12-31,23.18082191780822
1988-12-31,21.75136612021858
1989-12-31,22.73835616438356
1990-12-31,22.84246575342466
1991-12-31,22.526027397260275
1992-12-31,22.525956284153004
1993-12-31,23.946575342465753
1994-12-31,22.5972602739726
1995-12-31,22.85753424657534
1996-12-31,22.92622950819672
1997-12-31,22.515068493150686
1998-12-31,23.5
1999-12-31,21.493150684931507
2000-12-31,21.50136612021858
2001-12-31,23.28219178082192
2002-12-31,23.110958904109587
2003-12-31,24.5
2004-12-31,23.207650273224044
2005-12-31,23.435616438356163
2006-12-31,23.156164383561645
2007-12-31,23.69041095890411
2008-12-31,23.459016393442624
2009-12-31,22.915068493150685
2010-12-31,23.002739726027396
2011-12-31,21.20958904109589
2012-12-31,20.528688524590162
2013-12-31,22.278082191780822
2014-12-31,23.095890410958905
2015-12-31,23.346575342465755
2016-12-31,24.5327868852459
2017-12-31,24.19178082191781
2018-12-31,24.183561643835617
2019-12-31,23.804657534246576
2020-12-31,24.394672131147544
2021-12-31,24.286164383561644
2022-12-31,24.006027397260276
2023-12-31,23.992602739726024
