Tanggal,Lamanya Penyinaran Matahari
1980-12-31,2.1
1981-12-31,2.1
1982-12-31,2.1
1983-12-31,2.1
1984-12-31,2.1
1985-12-31,6.4580821917808215
1986-12-31,6.256849315068493
1987-12-31,6.448356164383562
1988-12-31,6.111748633879782
1989-12-31,6.106575342465754
1990-12-31,6.3
1991-12-31,6.123972602739726
1992-12-31,6.354371584699453
1993-12-31,6.240821917808219
1994-12-31,6.367123287671233
1995-12-31,5.736301369863014
1996-12-31,5.643715846994535
1997-12-31,6.189863013698631
1998-12-31,7.45
1999-12-31,5.651917808219178
2000-12-31,5.505737704918032
2001-12-31,5.735616438356164
2002-12-31,6.298904109589041
2003-12-31,6.051780821917808
2004-12-31,5.9527694982613015
2005-12-31,5.93107027219356
2006-12-31,5.744176125244618
2007-12-31,6.1067202445084545
2008-12-31,6.214258304168969
2009-12-31,5.843013698630137
2010-12-31,5.6443378995433795
2011-12-31,5.682511415525115
2012-12-31,5.733333333333333
2013-12-31,7.107534246575343
2014-12-31,7.425205479452054
2015-12-31,6.849041095890411
2016-12-31,6.268715846994535
2017-12-31,6.092602739726028
2018-12-31,6.455616438356165
2019-12-31,6.538767123287672
2020-12-31,6.394535519125683
2021-12-31,6.080342465753424
2022-12-31,6.088835616438357
2023-12-31,6.2850684931506855
