Tanggal,Kecepatan Angin Rata-rata
1980-12-31,1.0
1981-12-31,1.0
1982-12-31,1.0
1983-12-31,1.0
1984-12-31,1.0
1985-12-31,2.584931506849315
1986-12-31,2.526027397260274
1987-12-31,2.336986301369863
1988-12-31,1.8674863387978142
1989-12-31,2.047488584474886
1990-12-31,1.8648401826484018
1991-12-31,1.6684931506849314
1992-12-31,1.7882513661202186
1993-12-31,1.8813053988718773
1994-12-31,1.680338436744561
1995-12-31,1.8972602739726028
1996-12-31,2.0560109289617485
1997-12-31,1.6465753424657534
1998-12-31,2.0
1999-12-31,2.0465753424657533
2000-12-31,2.6243169398907105
2001-12-31,2.291780821917808
2002-12-31,2.5136986301369864
2003-12-31,3.1041095890410957
2004-12-31,3.01775956284153
2005-12-31,3.1054794520547944
2006-12-31,2.0
2007-12-31,2.8876712328767122
2008-12-31,2.5672131147540984
2009-12-31,3.1668493150684935
2010-12-31,3.0205479452054793
2011-12-31,2.3118721461187217
2012-12-31,2.3078324225865208
2013-12-31,2.5794520547945203
2014-12-31,1.389041095890411
2015-12-31,1.3506849315068492
2016-12-31,1.2868852459016393
2017-12-31,1.5410958904109588
2018-12-31,1.663013698630137
2019-12-31,1.5287671232876712
2020-12-31,1.4057377049180328
2021-12-31,1.5342465753424657
2022-12-31,1.5301369863013699
2023-12-31,1.5328767123287672
