Tanggal,Curah Hujan
1980-12-31,14.3
1981-12-31,14.3
1982-12-31,14.3
1983-12-31,14.3
1984-12-31,14.3
1985-12-31,10.521506849315069
1986-12-31,8.268356164383562
1987-12-31,7.525093399750935
1988-12-31,6.190412319920516
1989-12-31,6.277808219178082
1990-12-31,5.955616438356164
1991-12-31,6.635205479452055
1992-12-31,4.993715846994536
1993-12-31,4.9490410958904105
1994-12-31,6.9868493150684925
1995-12-31,4.72013698630137
1996-12-31,8.048633879781422
1997-12-31,4.4664383561643834
1998-12-31,2.0
1999-12-31,7.69123287671233
2000-12-31,5.7558823529411764
2001-12-31,5.442594681708299
2002-12-31,6.22575622601339
2003-12-31,4.7881390593047035
2004-12-31,5.37617000234671
2005-12-31,11.818493150684931
2006-12-31,8.763972602739726
2007-12-31,9.232191780821918
2008-12-31,7.099043715846994
2009-12-31,6.568767123287671
2010-12-31,7.821506849315068
2011-12-31,11.34958904109589
2012-12-31,10.115300546448086
2013-12-31,13.772876712328765
2014-12-31,4.8349315068493155
2015-12-31,9.791917808219178
2016-12-31,6.2625683060109285
2017-12-31,6.256986301369864
2018-12-31,5.162602739726027
2019-12-31,4.788356164383561
2020-12-31,5.58620218579235
2021-12-31,5.422739726027397
2022-12-31,6.8591780821917805
2023-12-31,6.473287671232876
