Tanggal,Arah Angin Saat Kecepatan Maksimum
1980-12-31,225.0
1981-12-31,225.0
1982-12-31,225.0
1983-12-31,225.0
1984-12-31,225.0
1985-12-31,254.46575342465752
1986-12-31,249.9041095890411
1987-12-31,257.9178082191781
1988-12-31,249.71311475409837
1989-12-31,240.47260273972603
1990-12-31,273.5753424657534
1991-12-31,264.8835616438356
1992-12-31,247.25409836065575
1993-12-31,245.03424657534248
1994-12-31,244.66438356164383
1995-12-31,258.4109589041096
1996-12-31,214.79508196721312
1997-12-31,286.95205479452056
1998-12-31,225.0
1999-12-31,238.93150684931507
2000-12-31,252.60245901639345
2001-12-31,267.041095890411
2002-12-31,277.2739726027397
2003-12-31,236.46575342465752
2004-12-31,274.91803278688525
2005-12-31,286.7671232876712
2006-12-31,213.78312636026115
2007-12-31,266.8538599411087
2008-12-31,266.55737704918033
2009-12-31,281.527397260274
2010-12-31,290.958904109589
2011-12-31,215.07534246575344
2012-12-31,251.2157354745177
2013-12-31,184.15079675705897
2014-12-31,193.02739726027397
2015-12-31,141.78082191780823
2016-12-31,126.91256830601093
2017-12-31,162.43835616438355
2018-12-31,164.4958904109589
2019-12-31,152.72876712328767
2020-12-31,154.4945355191257
2021-12-31,174.23287671232876
2022-12-31,175.58904109589042
2023-12-31,167.35205479452054
